Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.0115242,0,0.01152379,,0,0,39.96969,,1.736208,97.78002,149.8702,,0,100,110,,5,5,5,,
0.02258492,0,0.02258572,,0,0,40.05147,,1.614113,97.73273,149.9547,,0,100,110,,5,5,5,,
0.03333092,0,0.03333065,,0,0,40.09562,,1.472795,97.67673,150.0011,,0,100,110,,5,5,5,,
0.04469872,0,0.04469872,,0,0,40.14408,,1.367131,97.628,150.0506,,0,100,110,,5,5,5,,
0.05588531,0,0.05588558,,0,0,40.20203,,1.26326,97.58478,150.1095,,0,100,110,,5,5,5,,
0.06672287,0,0.06672317,,0,0,40.25853,,1.150132,97.54523,150.1672,,0,100,110,,5,5,5,,
0.07801247,0,0.07801383,,0,0,40.30593,,1.023149,97.50705,150.2157,,0,100,110,,5,5,5,,
0.08924675,0,0.0892479,,0,0,40.36068,,0.8777663,97.45085,150.2705,,0,100,110,,5,5,5,,
0.1000671,0,0.1000673,,0,0,40.43121,,0.7035804,97.40115,150.3415,,0,100,110,,5,5,5,,
0.1115112,0,0.1115113,,0,0,40.56286,,0.510824,97.35274,150.4732,,0,100,110,,5,5,5,,
0.1224899,0,0.1224906,,0,0,40.6109,,0.3754374,97.36571,150.5236,,0,100,110,,5,5,5,,
0.1333961,0,0.1333971,,0,0,40.62865,,0.2466269,97.3746,150.543,,0,100,110,,5,5,5,,
0.1446915,0,0.1446915,,0,0,40.65656,,0.1761677,97.39705,150.5728,,0,100,110,,5,5,5,,
0.1556931,0,0.1556937,,0,0,40.69089,,0.1132965,97.45745,150.6112,,0,100,110,,5,5,5,,
0.1666164,0,0.166616,,0,0,40.7235,,0.03681803,97.56122,150.6504,,0,100,110,,5,5,5,,
0.1779594,0,0.1779603,,0,0,40.75125,,-0.05096652,97.76109,150.6897,,0,100,110,,5,5,5,,
0.189188,0,0.1891876,,0,0,40.7604,,-0.1528688,98.02944,150.7124,,0,100,110,,5,5,5,,
0.2000351,0,0.2000349,,0,0,40.74524,,-0.248698,98.435,150.7144,,0,100,110,,5,5,5,,
0.2113533,0,0.2113543,,0,0,40.7303,,-0.3221399,98.97446,150.7161,,0,100,110,,5,5,5,,
0.2224236,0,0.2224236,,0,0,40.72607,,-0.3805307,99.59626,150.7223,,0,100,110,,5,5,5,,
0.2332821,0,0.2332834,,0,0,40.73895,,-0.42903,100.3974,150.7348,,0,100,110,,5,5,5,,
0.2446804,0,0.24468,,0,0,40.76157,,-0.4612438,101.2695,150.7392,,0,100,110,,5,5,5,,
0.2558441,0,0.2558448,,0,0,40.8063,,-0.4628944,102.2943,150.7391,,0,100,110,,5,5,5,,
0.2666569,0,0.2666575,,0,0,40.90183,,-0.4508071,103.3637,150.7608,,0,100,110,,5,5,5,,
0.2781048,0,0.2781051,,0,0,41.0798,,-0.4281536,104.5695,150.8226,,0,100,110,,5,5,5,,
0.2891941,0,0.2891937,,0,0,41.32193,,-0.4110243,105.7917,150.912,,0,100,110,,5,5,5,,
0.3000698,0,0.3000711,,0,0,41.64627,,-0.3644267,107.1012,151.0348,,0,100,110,,5,5,5,,
0.3112488,0,0.3112501,,0,0,42.01486,,-0.2953783,108.4215,151.1611,,0,100,110,,5,5,5,,
0.3225193,0,0.3225199,,0,0,42.45216,,-0.2119843,109.7809,151.3095,,0,100,110,,5,5,5,,
0.3335724,0,0.3335724,,0,0,42.90776,,-0.1283649,111.1118,151.4438,,0,100,110,,5,5,5,,
0.3446789,0,0.3446784,,0,0,43.36229,,-0.04955247,112.4048,151.5501,,0,100,110,,5,5,5,,
0.355751,0,0.3557523,,0,0,43.81924,,0.02625369,113.6474,151.6398,,0,100,110,,5,5,5,,
0.3666687,0,0.3666688,,0,0,44.28715,,0.07658114,114.8471,151.7242,,0,100,110,,5,5,5,,
0.3781033,0,0.3781043,,0,0,44.76438,,0.09813517,115.9896,151.8111,,0,100,110,,5,5,5,,
0.3892479,0,0.3892487,,0,0,45.23096,,0.102514,117.0627,151.8891,,0,100,110,,5,5,5,,
0.3999214,0,0.3999214,,0,0,45.65141,,0.1305845,118.0548,151.9292,,0,100,110,,5,5,5,,
0.4113026,0,0.4113021,,0,0,46.03691,,0.1728316,118.9892,151.9378,,0,100,110,,5,5,5,,
0.4224834,0,0.4224837,,0,0,46.34419,,0.2004043,119.8257,151.8889,,0,100,110,,5,5,5,,
0.4333992,0,0.4334002,,0,0,46.61219,,0.2214925,120.6008,151.8121,,0,100,110,,5,5,5,,
0.4445114,0,0.4445125,,0,0,46.7896,,0.230712,121.264,151.678,,0,100,110,,5,5,5,,
0.455761,0,0.4557621,,0,0,46.92514,,0.2367168,121.8629,151.5202,,0,100,110,,5,5,5,,
0.4665565,0,0.4665566,,0,0,46.97169,,0.2070606,122.3457,151.3155,,0,100,110,,5,5,5,,
0.4779491,0,0.4779499,,0,0,46.98007,,0.1694729,122.7814,151.0866,,0,100,110,,5,5,5,,
0.4889984,0,0.4889987,,0,0,46.8642,,0.1228261,123.0913,150.7803,,0,100,110,,5,5,5,,
0.5000134,0,0.5000145,,0,0,46.70788,,0.08171261,123.3561,150.4489,,0,100,110,,5,5,5,,
0.5113411,0,0.511341,,0,0,46.4654,,0.05299429,123.5157,150.0755,,0,100,110,,5,5,5,,
0.5223389,0,0.5223384,,0,0,46.16616,,0.04564673,123.6105,149.6718,,0,100,110,,5,5,5,,
0.5333157,0,0.533317,,0,0,45.80708,,0.05244183,123.6581,149.2247,,0,100,110,,5,5,5,,
0.5445938,0,0.5445951,,0,0,45.33375,,0.07191467,123.5862,148.7148,,0,100,110,,5,5,5,,
0.5557652,0,0.5557661,,0,0,44.83939,,0.08247783,123.4787,148.201,,0,100,110,,5,5,5,,
0.5665531,0,0.5665541,,0,0,44.24342,,0.07680185,123.2689,147.6302,,0,100,110,,5,5,5,,
0.5778389,0,0.5778395,,0,0,43.5998,,0.0550013,122.9917,147.0448,,0,100,110,,5,5,5,,
0.5891171,0,0.5891169,,0,0,42.95551,,0.03283917,122.6934,146.4717,,0,100,110,,5,5,5,,
0.5997925,0,0.5997921,,0,0,42.28707,,0.008252892,122.3571,145.8937,,0,100,110,,5,5,5,,
0.6113281,0,0.6113293,,0,0,41.58002,,-0.02094928,121.9436,145.3182,,0,100,110,,5,5,5,,
0.6223507,0,0.6223508,,0,0,40.90092,,-0.04404574,121.5466,144.7653,,0,100,110,,5,5,5,,
0.6332493,0,0.6332502,,0,0,40.23077,,-0.05586559,121.1261,144.2374,,0,100,110,,5,5,5,,
0.6446304,0,0.6446309,,0,0,39.56456,,-0.03699609,120.6546,143.7452,,0,100,110,,5,5,5,,
0.655632,0,0.655633,,0,0,38.91964,,-0.00625718,120.1585,143.2923,,0,100,110,,5,5,5,,
0.6666451,0,0.6666463,,0,0,38.29215,,0.03403169,119.66,142.8599,,0,100,110,,5,5,5,,
0.6778717,0,0.6778724,,0,0,37.66,,0.1267947,119.1207,142.4447,,0,100,110,,5,5,5,,
0.6890354,0,0.6890364,,0,0,36.99453,,0.2585967,118.5565,142.0029,,0,100,110,,5,5,5,,
0.6998539,0,0.6998537,,0,0,36.27879,,0.4435341,117.9397,141.5297,,0,100,110,,5,5,5,,
0.7113247,0,0.711325,,0,0,35.52884,,0.6427183,117.3098,141.0202,,0,100,110,,5,5,5,,
0.7223854,0,0.7223852,,0,0,34.67862,,0.85899,116.6337,140.4169,,0,100,110,,5,5,5,,
0.7333565,0,0.7333577,,0,0,33.7067,,1.03837,115.9302,139.6866,,0,100,110,,5,5,5,,
0.7446384,0,0.7446384,,0,0,32.69231,,1.213015,115.2197,138.9081,,0,100,110,,5,5,5,,
0.7556534,0,0.7556528,,0,0,31.65901,,1.372176,114.5009,138.1093,,0,100,110,,5,5,5,,
0.7665939,0,0.7665942,,0,0,30.67069,,1.563725,113.8223,137.3348,,0,100,110,,5,5,5,,
0.7779522,0,0.7779535,,0,0,29.67188,,1.813365,113.1608,136.5316,,0,100,110,,5,5,5,,
0.7890091,0,0.7890099,,0,0,28.69055,,2.081878,112.5366,135.7225,,0,100,110,,5,5,5,,
0.7999134,0,0.7999143,,0,0,27.7537,,2.302918,111.9387,134.9486,,0,100,110,,5,5,5,,
0.8113728,0,0.8113736,,0,0,26.86073,,2.47028,111.376,134.2071,,0,100,110,,5,5,5,,
0.8224106,0,0.8224109,,0,0,26.00213,,2.594549,110.8209,133.5008,,0,100,110,,5,5,5,,
0.8331947,0,0.8331945,,0,0,25.17524,,2.724816,110.2796,132.8188,,0,100,110,,5,5,5,,
0.8444996,0,0.8444992,,0,0,24.38795,,2.876462,109.7617,132.1632,,0,100,110,,5,5,5,,
0.8555908,0,0.8555905,,0,0,23.64402,,3.031596,109.2597,131.5432,,0,100,110,,5,5,5,,
0.8663788,0,0.8663782,,0,0,22.99128,,3.123404,108.8081,131.0062,,0,100,110,,5,5,5,,
0.8778515,0,0.8778524,,0,0,22.37806,,3.190046,108.3768,130.5044,,0,100,110,,5,5,5,,
0.8889103,0,0.8889102,,0,0,21.841,,3.191411,107.9898,130.075,,0,100,110,,5,5,5,,
0.8998928,0,0.899893,,0,0,21.32294,,3.160755,107.619,129.6629,,0,100,110,,5,5,5,,
0.9113216,0,0.9113221,,0,0,20.85729,,3.067776,107.2889,129.2999,,0,100,110,,5,5,5,,
0.9223461,0,0.9223473,,0,0,20.43593,,2.95432,106.9989,128.9714,,0,100,110,,5,5,5,,
0.9331646,0,0.933165,,0,0,20.04264,,2.886264,106.7311,128.6566,,0,100,110,,5,5,5,,
0.9445438,0,0.9445445,,0,0,19.6962,,2.807462,106.5146,128.3744,,0,100,110,,5,5,5,,
0.95578,0,0.9557806,,0,0,19.33386,,2.710744,106.3086,128.0735,,0,100,110,,5,5,5,,
0.9664993,0,0.9664997,,0,0,18.96457,,2.555056,106.1274,127.7646,,0,100,110,,5,5,5,,
0.9779243,0,0.9779241,,0,0,18.58887,,2.366534,105.9581,127.4484,,0,100,110,,5,5,5,,
0.9890308,0,0.9890315,,0,0,18.18865,,2.183989,105.7864,127.1048,,0,100,110,,5,5,5,,
0.9998455,0,0.9998459,,0,0,17.74905,,1.959242,105.6306,126.7179,,0,100,110,,5,5,5,,
1.011312,0,1.011313,,0,0,17.30563,,1.727308,105.4764,126.3251,,0,100,110,,5,5,5,,
1.022326,0,1.022325,,0,0,16.85204,,1.456899,105.3415,125.9166,,0,100,110,,5,5,5,,
1.033339,0,1.033338,,0,0,16.40708,,1.200767,105.2287,125.5052,,0,100,110,,5,5,5,,
1.044535,0,1.044536,,0,0,15.95607,,0.9719424,105.1264,125.0788,,0,100,110,,5,5,5,,
1.055628,0,1.055627,,0,0,15.48578,,0.7640466,105.0454,124.6209,,0,100,110,,5,5,5,,
1.066372,0,1.066371,,0,0,15.00966,,0.5823879,104.9646,124.1528,,0,100,110,,5,5,5,,
1.07789,0,1.07789,,0,0,14.55116,,0.4144543,104.915,123.6897,,0,100,110,,5,5,5,,
1.089102,0,1.089101,,0,0,14.12245,,0.248347,104.893,123.2454,,0,100,110,,5,5,5,,
1.099823,0,1.099823,,0,0,13.69407,,0.1241478,104.8791,122.7948,,0,100,110,,5,5,5,,
1.111284,0,1.111285,,0,0,13.26562,,0.005773891,104.8638,122.3418,,0,100,110,,5,5,5,,
1.122311,0,1.12231,,0,0,12.86997,,-0.08872063,104.8688,121.9132,,0,100,110,,5,5,5,,
1.133204,0,1.133205,,0,0,12.48504,,-0.1591305,104.8786,121.4913,,0,100,110,,5,5,5,,
1.144611,0,1.144613,,0,0,12.12301,,-0.1919679,104.8938,121.0897,,0,100,110,,5,5,5,,
1.15564,0,1.155639,,0,0,11.81818,,-0.2088984,104.9358,120.7361,,0,100,110,,5,5,5,,
1.166477,0,1.166477,,0,0,11.5407,,-0.2060798,104.984,120.407,,0,100,110,,5,5,5,,
1.177975,0,1.177975,,0,0,11.29647,,-0.1691756,105.0397,120.1086,,0,100,110,,5,5,5,,
1.189034,0,1.189033,,0,0,11.0505,,-0.125555,105.0825,119.8115,,0,100,110,,5,5,5,,
1.199785,0,1.199785,,0,0,10.80263,,-0.07935616,105.0872,119.5295,,0,100,110,,5,5,5,,
1.211237,0,1.211238,,0,0,10.53291,,-0.07180584,105.0643,119.2353,,0,100,110,,5,5,5,,
1.222376,0,1.222376,,0,0,10.22158,,-0.0805844,104.9778,118.9273,,0,100,110,,5,5,5,,
1.233067,0,1.233066,,0,0,9.905039,,-0.06768905,104.8887,118.6143,,0,100,110,,5,5,5,,
1.244545,0,1.244546,,0,0,9.582646,,-0.0481011,104.7666,118.3129,,0,100,110,,5,5,5,,
1.255613,0,1.255613,,0,0,9.261433,,-0.003806346,104.6351,118.0181,,0,100,110,,5,5,5,,
1.266809,0,1.26681,,0,0,8.935814,,0.06362136,104.5007,117.7194,,0,100,110,,5,5,5,,
1.278015,0,1.278015,,0,0,8.585361,,0.1469743,104.3383,117.4071,,0,100,110,,5,5,5,,
1.289009,0,1.289009,,0,0,8.225736,,0.2108704,104.1616,117.0922,,0,100,110,,5,5,5,,
1.299683,0,1.299683,,0,0,7.848197,,0.2474481,103.9707,116.7651,,0,100,110,,5,5,5,,
1.311243,0,1.311243,,0,0,7.469359,,0.2766488,103.779,116.4369,,0,100,110,,5,5,5,,
1.322369,0,1.322368,,0,0,7.067912,,0.3120144,103.5658,116.0945,,0,100,110,,5,5,5,,
1.333618,0,1.333619,,0,0,6.646785,,0.3341819,103.3438,115.7347,,0,100,110,,5,5,5,,
1.344666,0,1.344666,,0,0,6.233454,,0.3335625,103.1237,115.384,,0,100,110,,5,5,5,,
1.355814,0,1.355815,,0,0,5.823333,,0.3459076,102.9164,115.0285,,0,100,110,,5,5,5,,
1.366764,0,1.366764,,0,0,5.430665,,0.3743451,102.7234,114.6835,,0,100,110,,5,5,5,,
1.377857,0,1.377857,,1,0.0110933,5.067929,,0.4130176,102.5586,114.3551,,0,100,110,,5,5,5,,
1.389044,0,1.389045,,1,0.02228074,4.716733,,0.4596857,102.4045,114.0317,,0,100,110,,5,5,5,,
1.400227,0,1.400228,,1,0.03346378,4.384892,,0.489141,102.2675,113.7211,,0,100,110,,5,5,5,,
1.411348,0,1.411349,,1,0.04458465,4.04668,,0.5256907,102.1202,113.4065,,0,100,110,,5,5,5,,
1.422382,0,1.422383,,1,0.05561901,3.73146,,0.5558829,101.9889,113.1079,,0,100,110,,5,5,5,,
1.433527,0,1.433527,,1,0.06676246,3.468325,,0.5380848,101.898,112.8526,,0,100,110,,5,5,5,,
1.444487,0,1.444486,,1,0.07772204,3.213944,,0.5426732,101.8055,112.6029,,0,100,110,,5,5,5,,
1.455673,0,1.455673,,1,0.08890919,2.96853,,0.5389957,101.708,112.3673,,0,100,110,,5,5,5,,
1.466839,0,1.466839,,1,0.1000746,2.71197,,0.5214743,101.5999,112.1268,,0,100,110,,5,5,5,,
1.477873,0,1.477873,,1,0.1111093,2.458995,,0.4824583,101.4884,111.897,,0,100,110,,5,5,5,,
1.489,0,1.489001,,1,0.1222372,2.196265,,0.4608182,101.3601,111.6618,,0,100,110,,5,5,5,,
1.500051,0,1.500052,,1,0.1332883,1.962685,,0.4315245,101.2456,111.4541,,0,100,110,,5,5,5,,
1.511269,0,1.511269,,1,0.144505,1.756169,,0.4105777,101.1455,111.2662,,0,100,110,,5,5,5,,
1.522379,0,1.52238,,1,0.1556159,1.606028,,0.3833998,101.0797,111.1254,,0,100,110,,5,5,5,,
1.53352,0,1.53352,,1,0.1667553,1.466861,,0.3731398,101.0206,110.9853,,0,100,110,,5,5,5,,
1.544552,0,1.544553,,1,0.1777885,1.32983,,0.37187,100.9538,110.8487,,0,100,110,,5,5,5,,
1.555611,0,1.555612,,1,0.1888475,1.171883,,0.3435147,100.8694,110.7067,,0,100,110,,5,5,5,,
1.566763,0,1.566763,,1,0.1999985,0.9924495,,0.3128549,100.766,110.548,,0,100,110,,5,5,5,,
1.577806,0,1.577806,,1,0.211042,0.8165499,,0.2758509,100.6547,110.4025,,0,100,110,,5,5,5,,
